id,gy_x_mean,gy_y_mean,gy_z_mean,gy_x_max,gy_y_max,gy_z_max,gy_x_min,gy_y_min,gy_z_min,gy_x_rmse,gy_y_rmse,gy_z_rmse,gy_x_std,gy_y_std,gy_z_std,gy_mag_mean,gy_mag_max,gy_mag_min,gy_mag_rmse,gy_mag_std,ro_x_mean,ro_y_mean,ro_z_mean,ro_x_max,ro_y_max,ro_z_max,ro_x_min,ro_y_min,ro_z_min,ro_x_rmse,ro_y_rmse,ro_z_rmse,ro_x_std,ro_y_std,ro_z_std,ro_mag_mean,ro_mag_max,ro_mag_min,ro_mag_rmse,ro_mag_std,la_x_mean,la_y_mean,la_z_mean,la_x_max,la_y_max,la_z_max,la_x_min,la_y_min,la_z_min,la_x_rmse,la_y_rmse,la_z_rmse,la_x_std,la_y_std,la_z_std,la_mag_mean,la_mag_max,la_mag_min,la_mag_rmse,la_mag_std,label
25,0.0008942458105581128,0.0017020749003209509,-0.001757675539637874,0.1534881591796875,0.1728363037109375,0.0433197021484375,-0.1260986328125,-0.2438201904296875,-0.0751190185546875,0.021435169637967773,0.019037536951196313,0.01038921301822884,0.02142267207261982,0.018966753489741167,0.010242396419461975,0.021389813843491597,0.25180704249197755,0.0012207984887066413,0.0304931149231225,0.021738855315974782,0.3913690547262703,-0.024496396748462674,0.17728256383617125,0.4188232421875,0.0023193359375,0.1921844482421875,0.3614654541015625,-0.0423431396484375,0.1678009033203125,0.391687842094802,0.02846283713810934,0.17738951138095366,0.015804188054701768,0.014497605896497125,0.0061606123802662935,0.4307241546863305,0.45330302696726954,0.4034410491090276,0.43092521101788256,0.013165857198185337,0.014554645990474863,0.07426045267436529,0.11798119407803061,0.2003021240234375,0.3437652587890625,0.4572296142578125,-0.24346923828125,-0.091522216796875,-0.2761688232421875,0.053757439545019235,0.08880369971895817,0.14636340551653107,0.0517645278092321,0.04871188281240974,0.08664296655232089,0.16658522393936473,0.47922318997003854,0.01195927974156125,0.17943858521680284,0.06670929109554645,0
11,0.00023047092731857738,-0.0022350350787093643,-0.000820401348645174,1.2736053466796875,1.6016845703125,0.6802215576171875,-1.3124237060546875,-1.2830352783203125,-0.6343536376953125,0.1985676602238669,0.1876692352020537,0.11219455309878802,0.19862467643225964,0.18770993520201462,0.11222384353007143,0.18664040386863048,2.0597233569017654,0.004640603917969876,0.29535821517801325,0.22898035489488305,0.08288186164390643,-0.12768689891960047,0.4653001616272745,0.1102752685546875,-0.0915374755859375,0.49365234375,0.0269622802734375,-0.2824554443359375,0.3940887451171875,0.08432542168099183,0.13122301061129976,0.46567925072568683,0.01554067927251156,0.030266506837021076,0.01879168237144053,0.4909130876547917,0.5311800767395378,0.43582187724963006,0.49110835852386736,0.013851735580322998,0.04344512623390751,0.014654504141681351,0.25013605607255557,1.7978515625,1.06201171875,2.7099151611328125,-1.2932586669921875,-1.5742645263671875,-3.1002960205078125,0.24996204203890576,0.23546687736109273,0.5057145261100253,0.24622840511849553,0.235078055085809,0.439647983745448,0.4760058002608758,3.242749078571583,0.017483150020808247,0.6112878656681573,0.3836352617813495,1
19,-0.0044583247595980854,0.002680337628071927,-0.002683517640530548,0.88226318359375,0.6144561767578125,0.896728515625,-0.8638153076171875,-0.6302337646484375,-0.487060546875,0.13519651405524866,0.10137343471969007,0.10339764524561944,0.13516189611461094,0.10136717715196901,0.1033925823230566,0.12671440880563178,1.289815761467125,0.0032907374912535146,0.19810538539347505,0.15232386601703612,0.04887053687886802,0.2124032836984339,0.7239055117451739,0.1163482666015625,0.2493896484375,0.836883544921875,-0.016693115234375,0.17071533203125,0.5835113525390625,0.06125806029177827,0.21311765628797297,0.7276088211089037,0.03694599324998449,0.01744005733285924,0.07333827822379961,0.7572848829471873,0.8680641506501358,0.6229386747663616,0.7606485929309791,0.07147607408958284,0.3796090942453089,0.15537172799557877,0.09527973533019844,1.8943634033203125,2.30975341796875,9.933456420898438,-1.7592315673828125,-1.498291015625,-2.8456268310546875,0.43588019849485643,0.29008484674053436,0.5398351429957574,0.2142776620745253,0.24503757212896332,0.531513305628133,0.5652612012640961,10.143428793744103,0.065769165355011,0.752039059731371,0.49616957914639614,1
19,-0.0020849844665878524,0.00473498310400784,-0.007322919382461881,1.2698211669921875,0.6301422119140625,0.704071044921875,-1.1256561279296875,-0.7954864501953125,-0.6884613037109375,0.08073250768237988,0.06467147571912699,0.07661432125363582,0.08072880792859596,0.06451646788848049,0.07628549959756932,0.07256413001092636,1.6555846474533162,0.00283489247185861,0.1287240917215207,0.10635246490971459,0.21740432054456002,0.0658497168362072,-0.07884992417312464,0.2478790283203125,0.11248779296875,0.14385986328125,0.192718505859375,-0.0124969482421875,-0.2990570068359375,0.21756115582030916,0.07256964771557209,0.14919796771405033,0.008261791806078039,0.030507442781522592,0.12669632554888477,0.2703034002069728,0.38006891911346175,0.22774181317014056,0.2736041736915464,0.04238336077561355,0.39092725220428926,0.11796698005070483,0.08559768905025082,2.39007568359375,2.058944702148437,3.484832763671875,-0.7368621826171875,-1.7591094970703125,-2.2414093017578125,0.42993680405522844,0.21238833172786,0.268936379462155,0.17899713386802696,0.176665086568508,0.25502398428317796,0.49096249001047465,3.5303971085907992,0.09310534234155389,0.5498010868792272,0.24753246865303644,1
4,0.00637127710115368,-0.014015588217456153,0.014805974187077704,1.7014923095703125,2.0866241455078125,0.7311248779296875,-3.8239898681640634,-2.30792236328125,-0.955780029296875,0.3331834087944803,0.3918174621765112,0.17001278482073626,0.33321830729404883,0.3916793406291147,0.16941556837770097,0.38666824932522253,3.961422965041573,0.012805351787044849,0.5416977520396901,0.3794824498234099,-0.06592762065797513,-0.2996452116568655,-0.3316336528126572,-0.0008697509765625,-0.1760406494140625,-0.181243896484375,-0.230560302734375,-0.4321136474609375,-0.478546142578125,0.07793833274156645,0.3049005055930115,0.3415671820919899,0.04158036498590919,0.05638167648106983,0.08179919241657059,0.46063776869478706,0.5780443229073097,0.3566308303012375,0.4644425065642374,0.059344023224525394,-0.10767562366066614,0.07966259281274708,0.1420565095696386,2.3577880859375,3.9893646240234375,5.26422119140625,-2.5087890625,-2.2979888916015625,-8.731704711914062,0.4598672861832785,0.37800347643425086,0.9544662159332801,0.4472123533150771,0.36962015820994903,0.9441071249546746,0.818614806163681,8.73480217532336,0.026847578103262434,1.1248867971738077,0.7717399764570626,1
19,0.0010762187224674553,0.011766080340527006,-0.0061729966702477705,1.399444580078125,3.259796142578125,1.5020751953125,-1.346435546875,-3.416488647460937,-0.83526611328125,0.16305616358685698,0.3461316504729976,0.10432914154055259,0.16309954023602324,0.34603117301467,0.10417633249822655,0.16984805212095394,3.6379318947313846,0.002872950803186452,0.3965841672550909,0.3584753535474093,-0.1902543957954995,-0.21223907119522709,-0.7626326092367753,-0.0302886962890625,-0.15826416015625,-0.7122039794921875,-0.3631134033203125,-0.2638092041015625,-0.821990966796875,0.19328945003576053,0.2131097762714938,0.7628619944327024,0.034128383209348405,0.019250106884547213,0.01871168973422583,0.8149428053119432,0.856811092048881,0.7593818313606305,0.8153128300152362,0.024567908808473336,0.3930092428578332,-0.23091509152885412,0.05750350161992502,5.01226806640625,4.1338653564453125,4.5184173583984375,-2.948089599609375,-2.22393798828125,-2.2143707275390625,0.5007254391941757,0.343471699551654,0.35986386370270035,0.31036288994567474,0.25433884648861677,0.35534208732330197,0.5734622048728798,6.485025596601483,0.07027631066742815,0.7058333898648728,0.41163013110607594,1
9,0.02082846643185739,0.009753726829805204,0.003720740328718013,0.4352569580078125,1.3548431396484375,0.7309112548828125,-0.4438323974609375,-1.0097808837890625,-0.6194610595703125,0.06530281279203719,0.15115706729265957,0.07155402456344896,0.06190990543424424,0.15088543825108253,0.07147777598416502,0.10546940188512241,1.3596368401673906,0.0029736635679461646,0.17953521877975956,0.1453315026946193,0.23423563522330093,-0.46214543628308746,0.3073863577335439,0.26715087890625,-0.4121856689453125,0.381317138671875,0.1554718017578125,-0.4997406005859375,0.2811279296875,0.235230513759794,0.4625045382010235,0.3077918773051072,0.021617828994686193,0.018227304476988816,0.015799061713438447,0.6029475503428477,0.6452509741340243,0.5775836848083996,0.6033072867082253,0.020837068051511903,0.0663129160498805,-0.04086884580308367,-0.03550282369200151,1.114227294921875,0.7273406982421875,1.0009002685546875,-0.6681060791015625,-0.6625213623046875,-1.486907958984375,0.12530402827417086,0.1193417482017871,0.16142500834582732,0.10634942651365646,0.11215803144635339,0.15751777903969008,0.18760231960241952,1.5019428098731147,0.01150490434264288,0.23664654167142057,0.1442876541698126,0
7,0.0003977282293911638,0.0009374596606725934,-0.0025338271568561424,1.2098236083984375,1.1136627197265625,0.2733154296875,-0.949676513671875,-0.632171630859375,-0.9957427978515624,0.0867415335785095,0.08962646581835085,0.04710961842377006,0.08676555795470152,0.08964732737227991,0.0470549506272695,0.06649957963797407,1.589485756563027,0.0016146942582532559,0.1333278409435663,0.11559324492830653,0.159857212812051,-0.12320565410044002,0.590051392303116,0.1881561279296875,-0.077606201171875,0.60943603515625,0.1156005859375,-0.162109375,0.5742645263671875,0.1607824380261185,0.1255655049975201,0.5901015603228141,0.017228885167542566,0.02423634521578411,0.007696751427779282,0.6243341579192061,0.6343968187491565,0.6119054096327295,0.6243697141264338,0.006665186049917264,0.07502725535425647,0.019693273785470547,0.1435462250106636,2.852752685546875,1.3760833740234375,1.89691162109375,-1.2710723876953125,-1.4573211669921875,-1.4890594482421875,0.17064991183786157,0.18549978386163013,0.2590415555522503,0.1533160541231516,0.18450449614005165,0.21569364054951776,0.2713039193990754,3.45032604316989,0.019627625390390088,0.36143338214103987,0.23887458374875373,1
11,0.0011151741480237118,-0.0009723283397650403,0.0011925837330661701,1.2912445068359375,2.0121002197265625,3.539047241210937,-1.823516845703125,-1.644805908203125,-2.5865631103515625,0.25342535776113656,0.31894006548501763,0.3083246228000684,0.25349588409995855,0.3190304303159666,0.3084111060910438,0.2946247036698732,3.6759839072366156,0.004430859138309177,0.5108926015834951,0.4175019572437581,0.22756946587878257,0.0120961700421884,-0.06321398307347888,0.3281707763671875,0.1080474853515625,0.2176513671875,0.1324920654296875,-0.1110992431640625,-0.130584716796875,0.22866927136932239,0.038386345228953046,0.07620087761174285,0.022406760329621314,0.03644116742254242,0.042563000899891484,0.2430747975622828,0.3388267167931562,0.15340644776776818,0.24406909045885547,0.02201460239978113,-0.04307350593527364,0.10272966998709161,0.20255940579517037,2.00994873046875,3.832687377929688,3.042877197265625,-2.1956329345703125,-2.9384002685546875,-2.141098022460937,0.30592244229994525,0.3450009104034834,0.45753776567598325,0.3029621354265572,0.32944609133296526,0.41037476432317405,0.49193122531333616,4.403130764988985,0.03129906825361811,0.6495806153987099,0.42433749336783066,1
13,0.0013745559929566062,-0.0047748941213973444,0.0021217886442141624,0.7999267578125,1.3213043212890625,1.0967559814453125,-1.3848724365234375,-1.452117919921875,-0.5357666015625,0.18931410870185741,0.3003246112468493,0.1261057524183707,0.18936363517161525,0.30037312620269574,0.12612421151996223,0.26538072041657584,1.8188414233056103,0.006252417990727429,0.37674575600416954,0.26749136536884977,0.257530357347663,-0.033267753043254356,-0.13725200822179046,0.3646087646484375,0.0965118408203125,-0.1009521484375,0.1966552734375,-0.0822296142578125,-0.164459228515625,0.2581705303491,0.04349775596802947,0.13803760859832034,0.018174926592857885,0.028031477842145904,0.01471027548194078,0.2954149429150794,0.40742027068896625,0.2441513888847255,0.2959703682846188,0.01812897173245305,-0.06829690795968714,0.10228843886617552,0.17677741964863988,2.128204345703125,1.6801910400390625,1.897491455078125,-2.366912841796875,-1.86700439453125,-2.6728057861328125,0.38297135746717226,0.23650755453394126,0.46338687703138587,0.376940833198107,0.21330516330359792,0.42846567109282724,0.5110723473724157,3.034854983277829,0.02742962041106205,0.6460110539276975,0.395253434214799,0
